rgn_id,mean,rgn_name,eez_iso3,territory,admin_rgn_id,admin_country_name,Notes
1,26.424636144037464,Cocos Islands,CCK,yes,16,Australia,
2,1815.3226732623075,Christmas Island,CXR,yes,16,Australia,
3,8212.511520870168,Norfolk Island,NFK,yes,16,Australia,
4,0,Macquarie Island,AUS,yes,16,Australia,
5,6622.40863953888,New Caledonia,NCL,yes,179,France,
6,8609.337401676226,Vanuatu,VUT,no,6,Vanuatu,
7,11512.55104756965,Solomon Islands,SLB,no,7,Solomon Islands,
8,2248.238937832907,Palau,PLW,no,8,Palau,
9,2049.020616241873,Micronesia,FSM,no,9,Micronesia,
10,15301.674141402793,Nauru,NRU,no,10,Nauru,
11,1014.2191151443201,Marshall Islands,MHL,no,11,Marshall Islands,
12,0,Wake Island,UMI,yes,163,United States,
13,18694.65885575937,Northern Mariana Islands and Guam,MNP,yes,163,United States,
14,1163763.415127778,Taiwan,TWN,no,14,Taiwan,
15,179766.22039321047,Philippines,PHL,no,15,Philippines,
16,111017.23822240962,Australia,AUS,no,16,Australia,
17,70020.8515248781,Papua New Guinea,PNG,no,17,Papua New Guinea,
18,22734.89552957545,Fiji,FJI,no,18,Fiji,
19,268.6910579491832,Tuvalu,TUV,no,19,Tuvalu,
20,490996.2412296487,South Korea,KOR,no,20,South Korea,
21,2146766.347578026,North Korea,PRK,no,21,North Korea,
24,70372.47867461992,Cambodia,KHM,no,24,Cambodia,
25,276066.03234514303,Thailand,THA,no,25,Thailand,
26,11675.826943580272,Andaman and Nicobar,IND,yes,203,India,
28,137760.37901767285,Comoro Islands,COM,no,28,Comoro Islands,
29,69322.97403459979,Mayotte,MYT,yes,179,France,
30,0,Glorioso Islands,ATF,yes,179,France,
31,11242.691367032046,Seychelles,SYC,no,31,Seychelles,
32,53489.700424769704,Reunion,REU,yes,179,France,
33,0,Juan de Nova Island,ATF,yes,179,France,
34,0,Bassas da India,ATF,yes,179,France,
35,0,Ile Europa,ATF,yes,179,France,
36,0,Ile Tromelin,ATF,yes,179,France,
37,43989.428217553475,Mauritius,MUS,no,37,Mauritius,
38,0,British Indian Ocean Territory,IOT,yes,180,United Kingdom,
39,1566.8579968029494,Maldives,MDV,no,39,Maldives,
40,906148.9032204,Sri Lanka,LKA,no,40,Sri Lanka,
41,1696158.2748566407,Mozambique,MOZ,no,41,Mozambique,
42,273235.8745726829,Madagascar,MDG,no,42,Madagascar,
43,2586950.843199381,Kenya,KEN,no,43,Kenya,
44,818350.3792613593,Somalia,SOM,no,44,Somalia,
45,19068.486145961968,Eritrea,ERI,no,45,Eritrea,
46,249033.52925231602,Djibouti,DJI,no,46,Djibouti,
47,413868.43562518206,Yemen,YEM,no,47,Yemen,
48,87551.7648821739,Oman,OMN,no,48,Oman,
49,330368.65068333456,Sudan,SDN,no,49,Sudan,
50,193475.46264615032,Saudi Arabia,SAU,no,50,Saudi Arabia,
51,676933.529538057,Kuwait,KWT,no,51,Kuwait,
52,153313.88001503452,Bahrain,BHR,no,52,Bahrain,
53,9997243.921667421,Pakistan,PAK,no,53,Pakistan,
54,349326.0586241908,United Arab Emirates,ARE,no,54,United Arab Emirates,
55,22066.626450291347,Azores,PRT,yes,183,Portugal,
56,17433.067132646476,Cape Verde,CPV,no,56,Cape Verde,
57,67345.00410429944,Madeira,PRT,yes,183,Portugal,
58,345111.59251978237,Canary Islands,ESP,yes,182,Spain,
59,1186914.8796939438,Belgium,BEL,no,59,Belgium,
60,1178362.3016055045,Gibraltar,GIB,yes,180,United Kingdom,
61,527508.8480768177,Tunisia,TUN,no,61,Tunisia,
62,1445253.4559007732,Morocco,MAR,no,62,Morocco,
63,19960.901445225914,Western Sahara,ESH,yes,62,Morocco,
64,593690.6007974285,Mauritania,MRT,no,64,Mauritania,
65,2061622.7920613927,Gambia,GMB,no,65,Gambia,
66,2347134.956760527,Senegal,SEN,no,66,Senegal,
67,199233.32901099575,Libya,LBY,no,67,Libya,
68,665008.5225216006,Malta,MLT,no,68,Malta,
69,1017967.640598287,Latvia,LVA,no,69,Latvia,
70,140507.73127577233,Estonia,EST,no,70,Estonia,
71,479157.9470690282,Bulgaria,BGR,no,71,Bulgaria,
72,18357862.98736273,Romania,ROU,no,72,Romania,
73,285932.37897318724,Russia,RUS,no,73,Russia,
74,832485.7792706233,Georgia,GEO,no,74,Georgia,
75,5199049.871143372,Ukraine,UKR,no,75,Ukraine,
76,1636394.1270454358,Turkey,TUR,no,76,Turkey,
77,1181329.6844495952,Syria,SYR,no,77,Syria,
78,1294636.1012202278,Lebanon,LBN,no,78,Lebanon,
79,8564710.844867667,Israel,ISR,no,79,Israel,
80,315094.2498463796,Greece,GRC,no,80,Greece,
81,43782.953150367284,Cyprus,CYP,no,81,Cyprus,
82,1763070.1358521509,Albania,ALB,no,82,Albania,
84,3043598.919822132,Algeria,DZA,no,84,Algeria,
85,75.33484548778203,Ascension,ASC,yes,180,United Kingdom,
86,69.72919579171516,Saint Helena,SHN,yes,180,United Kingdom,
88,20.783705811189467,Tristan da Cunha,TAA,yes,180,United Kingdom,
89,0,South Georgia and the South Sandwich Islands,SGS,yes,180,United Kingdom,
90,0,Prince Edward Islands,ZAF,yes,102,South Africa,
91,0,Crozet Islands,ATF,yes,179,France,
92,0,Amsterdam Island and Saint Paul Island,ATF,yes,179,France,
93,0,Kerguelen Islands,ATF,yes,179,France,
94,0,Heard and McDonald Islands,HMD,yes,16,Australia,
95,51.267511644268964,Falkland Islands,FLK,yes,180,United Kingdom,
96,449717.050707074,Sierra Leone,SLE,no,96,Sierra Leone,
97,426854.11835626577,Liberia,LBR,no,97,Liberia,
