basin_id,area,sum,norm_eff,effluent_o,effluent_s,effluent_t,perc_open,perc_septic,perc_treated,dominated,total_rank,norm_rank
ai_07771,0.607497612932,93531189.25,153961410.31498897,73772008,1326649.25,18432532,78.9,1.4,19.7,open,3974,1
na_76159,32.1973734772,3943455436.4540443,122477550.51344582,1257895058.568574,384736820.02190083,2300823557.8635693,31.9,9.8,58.3,treated,245,2
ai_07801,0.607497612932,54349419.75,89464416.96731997,42867688,770893.75,10710838,78.9,1.4,19.7,open,5585,3
eu_29729,15.3015319211,763229066.40625,49879258.51749507,1260688.5,84045.90625,761884332,0.2,0,99.8,treated,871,4
al_12503,49.8148042477,2481577693.5625,49816068.356367715,636549120,11447125.5625,1833581448,25.7,0.5,73.9,treated,349,5
na_77387,0.607497612776,29264105.845703125,48171556.94156374,22565827.515625,2410888.44921875,4287389.880859375,77.1,8.2,14.7,open,8073,6
ai_32463,0.607497612932,28788368.03125,47388446.33859066,18561173,6596407.8125,3630787.21875,64.5,22.9,12.6,open,8148,7
na_80747,15.7949379322,739420183.9372387,46813744.19521055,195775053.20319176,59840629.06860924,483804501.6654377,26.5,8.1,65.4,treated,900,8
eu_30871,40.9686177241,1895087756.8125,46257058.74615596,95009291.75,62790441.4375,1737288023.625,5,3.3,91.7,treated,433,9
ai_07406,0.607497612932,25320116,41679367.064170174,22489672,345679,2484765,88.8,1.4,9.8,open,8748,10
al_12903,15.7949379322,650716010.6875,41197756.7421099,512924992,7883948,129907070.6875,78.8,1.2,20,open,999,11
af_18168,0.85166500738,34186579.6875,40140876.273253374,33964768,68249.75,153561.9375,99.4,0.2,0.4,open,7342,12
na_80064,0.607497612777,23018944.9375,37891416.284379356,12259945.125,3743509.5625,7015490.25,53.3,16.3,30.5,open,9222,13
eu_22236,0.493597803905,18065521.838867188,36599680.33882127,49751.48828125,51071.90625,17964698.444335938,0.3,0.3,99.4,treated,10433,14
al_10768,18.8324259961,687535451.6875,36508066.0255817,76515086,1375978.4375,609644387.25,11.1,0.2,88.7,treated,959,15
eu_31939,7.89756486249,287534444.3261719,36407987.69400875,5294849.359375,352989.966796875,281886605,1.8,0.1,98,treated,1809,16
al_13345,1.21499522555,43330456.05395508,35663066.93455556,33938063.65625,610311.5617675781,8782080.8359375,78.3,1.4,20.3,open,6406,17
ai_07036,0.607497612932,20627517.065429688,33954894.021515474,12713130.3125,195408.0029296875,7718978.75,61.6,0.9,37.4,open,9731,18
na_73926,12.7574498683,419878896.4360136,32912447.297115244,114284777.20949827,44850438.709257945,260743680.5172574,27.2,10.7,62.1,treated,1366,19
eu_26817,15.3015319211,492689544.97305965,32198707.13034078,107592332.63230896,12466835.724844933,372630376.61590576,21.8,2.5,75.6,treated,1222,20
eu_30892,116.982679526,3694518797.326172,31581759.045834184,577412141.4296875,381604392.1113281,2735502263.7851562,15.6,10.3,74,treated,260,21
ai_09953,0.607497612932,18256312.125,30051660.67548567,14399526,258948.125,3597838,78.9,1.4,19.7,open,10372,22
af_07718,33.2149352878,987667655.0385742,29735648.932645943,770394625,180851461.1875,36421568.85107422,78,18.3,3.7,open,722,23
al_12879,300.711318324,8856026796.376465,29450260.953711696,5537401287.859375,97450854.88427734,3221174653.6328125,62.5,1.1,36.4,open,125,24
ai_06838,0.607497612933,17325152.75,28518882.01890065,0,0,17325152.75,0,0,100,treated,10646,25
ai_07791,11.5424546457,315691876.015625,27350497.42068791,163250438,2935748.765625,149505689.25,51.7,0.9,47.4,open,1697,26
af_03156,63.0232105461,1616794611.875,25653955.07251019,112077152,74070371.75,1430647088.125,6.9,4.6,88.5,treated,491,27
na_70998,34.0198663155,842594034.32421875,24767705.625589695,12070112.60546875,55428790.75,775095130.96875,1.4,6.6,92,treated,814,28
al_12918,12.7574498683,312811455,24519904.7011175,0,0,312811455,0,0,100,treated,1706,29
na_71027,16.402435545,396456270,24170573.261045545,0,0,396456270,0,0,100,treated,1420,30
eu_25134,1.48079341172,35259503.490234375,23811223.90953852,1027481.0615234375,1054750.6318359375,33177271.796875,2.9,3,94.1,treated,7235,31
ai_07397,18.224928388,432907823.40625,23753609.02330312,364208534,5598091.65625,63101197.75,84.1,1.3,14.6,open,1340,32
al_12814,18.8324259961,429469081.9761963,22804766.739300337,280995380.3046875,5053915.069946289,143419786.6015625,65.4,1.2,33.4,open,1347,33
eu_30851,12.3399450976,279639229,22661302.52511311,0,0,279639229,0,0,100,treated,1852,34
ai_10931,0.607497612932,13615190.546875,22411924.35499991,10738877,193118.296875,2683195.25,78.9,1.4,19.7,open,11958,35
na_72837,60.7497612777,1319413379.2472553,21718824.099010658,63480798.634149015,280616684.41351205,975315896.1995943,4.8,21.3,73.9,treated,572,36
na_72837,60.7497612777,1319413379.2472553,21718824.099010658,63480798.634149015,280616684.41351205,975315896.1995943,4.8,21.3,73.9,treated,573,37
na_72837,60.7497612777,1319413379.2472553,21718824.099010658,63480798.634149015,280616684.41351205,975315896.1995943,4.8,21.3,73.9,treated,574,38
al_12913,23.6924068983,512100992.76953125,21614561.786302768,114393720,1758296.375,395948976.39453125,22.3,0.3,77.3,treated,1182,39
af_06240,17.0333001476,366944735.5,21542785.738540675,0,0,366944735.5,0,0,100,treated,1501,40
al_10759,17.0099331577,365453671.5,21484721.198599633,0,0,365453671.5,0,0,100,treated,1511,41
al_15660,1.21499522555,25696830.125,21149737.533633225,20479014,4199430,1018386.125,79.7,16.3,4,open,8682,42
af_08543,65.5782055683,1385888380.9375,21133368.455684423,15621680.875,20101910.875,1350164789.1875,1.1,1.5,97.4,treated,548,43
eu_09431,1.97439121562,40138090.125,20329350.033294085,276821.25,33852.28125,39827416.59375,0.7,0.1,99.2,treated,6718,44
ai_06849,66.8247374226,1348132283,20174150.097656265,855863830,13155112.15625,479113340.84375,63.5,1,35.5,open,557,45
al_09774,99.6296084954,1987298173.5615234,19946863.22242528,1147167208.125,20629620.462890625,819501344.9736328,57.7,1,41.2,open,419,46
af_03174,15.3299701329,302486248,19731691.932708163,18407981.5,12165602.5,271912664,6.1,4,89.9,treated,1746,47
al_11325,14.5799427066,287004073.61328125,19684856.064856905,2591662,46606.11328125,284365805.5,0.9,0,99.1,treated,1812,48
al_12910,52.2447946988,1028000043.7597656,19676602.22776945,618396312.75,9553429.8984375,400050301.1113281,60.2,0.9,38.9,open,697,49
af_13395,299.786082598,5868021619.761865,19574029.484319404,4651811069.506802,450949672.21992207,765260878.035141,79.3,7.7,13,open,177,50
af_13395,299.786082598,5868021619.761865,19574029.484319404,4651811069.506802,450949672.21992207,765260878.035141,79.3,7.7,13,open,178,51
af_13395,299.786082598,5868021619.761865,19574029.484319404,4651811069.506802,450949672.21992207,765260878.035141,79.3,7.7,13,open,179,52
al_10321,46.777316183799996,913380418.72265625,19526139.873731785,668612800,10276957.75,234490660.97265625,73.2,1.1,25.7,open,764,53
al_12915,29.1598854133,566727615.9375,19435179.79940388,0,0,566727615.9375,0,0,100,treated,1116,54
af_14805,24.698285214,473835474.96777344,19184954.374856118,467035553,937822.3642578125,5862099.603515625,98.6,0.2,1.2,open,1255,55
al_12957,106.919579849,2036276014.1975098,19044930.93849877,1875649064,107842960.5625,52783989.635009766,92.1,5.3,2.6,open,413,56
ai_06869,15.1874403233,288665737.6875,19006872.227483906,225891008,3472072.6875,59302657,78.3,1.2,20.5,open,1805,57
al_09885,0.607497612776,11526316.46875,18973435.000147153,10065000,349287.71875,1112028.75,87.3,3,9.6,open,13003,58
na_71080,12.7574498683,235542697.0625,18463148.943879593,0,0,235542697.0625,0,0,100,treated,2099,59
na_70978,32.1973734772,593137486.90625,18421921.506307643,25304751.875,116205353.25,451627381.78125,4.3,19.6,76.1,treated,1069,60
ai_18845,6.07497612933,111360174.4140625,18330964.93604564,89257404,21218288,884482.4140625,80.2,19.1,0.8,open,3501,61
na_79796,17.6174307705,315275528.3380432,17895658.70557954,312324391.0703125,1502487.359375,1448649.908355713,99.1,0.5,0.5,open,1699,62
al_12715,43.1323305071,767799292.3818359,17801015.69646112,178968316.5,3218404.59765625,585612571.2841797,23.3,0.4,76.3,treated,870,63
af_09162,27.2532802362,477698594.21972656,17528113.683181845,16046055.71875,1069737.1259765625,460582801.375,3.4,0.2,96.4,treated,1248,64
eu_33615,20.2375099601,352822781,17434100.425181784,35178363,59215553,258428865,10,16.8,73.2,treated,1555,65
al_13390,0.607497612777,10530153.8515625,17333654.701006874,8058963.25,144925.1328125,2326265.46875,76.5,1.4,22.1,open,13620,66
al_12842,17.6174307705,301187803,17096011.724043913,139382390,2506527.25,159298885.75,46.3,0.8,52.9,treated,1751,67
eu_30891,54.7893562335,902721804.125,16476225.788779143,128095186,84656487.75,689970130.375,14.2,9.4,76.4,treated,773,68
al_09724,14.5799427066,240177833.25,16473167.150463292,104113420,1872281.75,134192131.5,43.3,0.8,55.9,treated,2063,69
na_81492,0.607497612776,9907336.33984375,16308436.661292428,8125043.75,1706866.875,75425.71484375,82,17.2,0.8,open,13998,70
ai_10125,0.607497612933,9793061.328125,16120328.902765684,7724202,138905.078125,1929954.25,78.9,1.4,19.7,open,14070,71
al_09742,55.2822827627,890817936.1875,16113986.103130888,296707151,5335713.78125,588775071.40625,33.3,0.6,66.1,treated,782,72
al_12858,102.667096559,1635923867.8468475,15934256.667195477,873343404.2568359,15705754.34489441,746874709.2451172,53.4,1,45.7,open,485,73
al_12892,27.337392575,435073392.9394531,15914955.74224321,280621552.125,4313312.376953125,150138528.4375,64.5,1,34.5,open,1335,74
af_08961,30.6599402657,482318109.046875,15731214.896933626,14040062.90625,936004.28125,467342041.859375,2.9,0.2,96.9,treated,1242,75
al_12937,30.3748806388,476373495.4765625,15683139.668639774,258772008,4653522.5,212947964.9765625,54.3,1,44.7,open,1250,76
eu_22742,20.2375099601,315171758,15573643.132054703,0,0,315171758,0,0,100,treated,1701,77
ai_11658,32.1973734854,493386939.015625,15323825.69153825,146798633.5,2639894.265625,343948411.25,29.8,0.5,69.7,treated,1221,78
eu_27003,37.0198352929,565984388.44140625,15288679.270541107,5380733.375,358715.56640625,560244939.5,1,0.1,99,treated,1118,79
sa_04770,57.8391071813,872532688.671875,15085514.476163527,590462367,43512981.625,238557340.046875,67.7,5,27.3,open,790,80
ai_06836,30.9823782596,467087911.578125,15075921.792201221,331951406,5102281.328125,130034224.25,71.1,1.1,27.8,open,1266,81
af_13805,28.1049452436,422905943.8691406,15047385.44066169,351386215.5,33824316.8125,37695411.556640625,83.1,8,8.9,open,1358,82
eu_15644,0.493597803905,7229562.07611084,14646665.805470789,6413853.933105469,16858.982849121094,798849.16015625,88.7,0.2,11,open,16145,83
eu_17835,14.8079341172,216150495,14596937.917824246,0,0,216150495,0,0,100,treated,2220,84
af_06206,18.7366301624,272569548.375,14547415.731244074,16789743.5,4423445.375,251356359.5,6.2,1.6,92.2,treated,1882,85
al_11445,218.091642987,3166926018.1757812,14521079.188552655,1571132359.25,28253827.83203125,1567539831.09375,49.6,0.9,49.5,open,286,86
al_12872,25.5148997366,370393799.375,14516764.839318039,0,0,370393799.375,0,0,100,treated,1492,87
af_16514,0.85166500738,12188649.61328125,14311553.847653694,12056977,24833.79296875,106838.8203125,98.9,0.2,0.9,open,12670,88
eu_22686,17.7695209406,254263646.5625,14308975.881367493,34103424.25,4170483.8125,215989738.5,13.4,1.6,84.9,treated,1964,89
