ISO3,country_name,open,septic,treated,total
ABW,Aruba,12774198.885456085,1427860.3763074875,14717329.25399208,28919388.515755653
AFG,Afghanistan,50503951884.98901,197961764.10974693,585239890.9136379,51287153540.0124
AGO,Angola,11699410568.975166,613506074.3455873,555354177.1982632,12868270820.519016
AIA,Anguilla,9950647.061767578,1184670.590637207,1935046.1038513184,13070363.756256104
ALA,Åland Islands,288658.9754638672,1586.5904426574707,784487.7583312988,1074733.3242378235
ALB,Albania,36991.3642578125,53668.0625,56403.978515625,147063.4052734375
AND,Andorra,23929702.277770996,40226660.16394043,70594727.28967285,134751089.73138428
ARE,United Arab Emirates,3395720479.8550014,1011173609.1333392,2355709259.542988,6762603348.531328
ARG,Argentina,16745847285.583988,5003078937.957109,8415158716.469362,30164084940.01046
ARM,Armenia,5411017820.201176,66831597.662074775,1465314713.8687844,6943164131.732035
ASM,American Samoa,13563661.494110107,9221009.438949585,1284987.258433342,24069658.191493034
ATG,Antigua & Barbuda,42601436.10620117,4695589.358642578,11000761.216064453,58297786.6809082
AUT,Austria,709015331.3343438,711625497.0732319,20209786381.186707,21630427209.594284
AZE,Azerbaijan,12725584935.82434,32751296.004553743,1652090533.5073748,14410426765.33627
BDI,Burundi,5112466910.623047,10282795.298610687,139407042.3537674,5262156748.275425
BEL,Belgium,562135097.9252558,522515853.2709093,25456858542.046825,26541509493.24299
BEN,Benin,6296499121.046326,13362765.545272827,186432960.27618122,6496294846.86778
BFA,Burkina Faso,18471709634.85437,39557116.951229095,387100459.1587448,18898367210.964344
BGD,Bangladesh,91564874493.27762,1702214926.6406398,2382265796.2858825,95649355216.20415
BGR,Bulgaria,6307244604.91352,318473277.27720803,8006713107.561836,14632430989.752563
BHR,Bahrain,122463293.49744415,36462888.99857712,307387512.6639404,466313695.1599617
BHS,Bahamas,215148465.57207155,24509875.601588964,50051205.680368185,289709546.8540287
BIH,Bosnia & Herzegovina,1011947019.1694163,1381508604.4911876,2776260954.568857,5169716578.229462
BLR,Belarus,2595399150.184526,393570833.50177515,16233434922.672525,19222404906.358826
BLZ,Belize,246879693.46663475,52704026.9436512,9139396.801040173,308723117.2113261
BMU,Bermuda,6137367.10546875,15946624.553405762,67609902.82006836,89693894.47894287
BOL,Bolivia,10745583389.433422,174933156.55025974,1227789188.2359912,12148305734.219673
BRA,Brazil,168528775833.73453,13186521911.592424,54860951685.76806,236576249431.09503
BRB,Barbados,146675070.3112793,15759420.309020996,36627525.21520996,199062015.83551025
BRN,Brunei,362813242.52978706,74740173.25186825,33665059.30421078,471218475.0858661
BTN,Bhutan,797388790.4995465,105781096.26368067,47932298.11659178,951102184.879819
BWA,Botswana,2209290046.998081,12879381.75375646,39385468.851938136,2261554897.603776
CAF,Central African Republic,2805231291.5098877,5638462.049636126,59450153.94896841,2870319907.508492
CAN,Canada,3403311985.448696,4380808126.399558,59903380541.25893,67687500653.10718
CHE,Switzerland,1207191266.1662102,103273557.75995412,18827338502.98223,20137803326.908394
CHL,Chile,5372934463.268743,3497003377.096296,8510692847.052153,17380630687.41719
CHN,China,1608966272681.6597,28995647796.493767,1213688903501.2388,2851650823979.392
CIV,Côte d’Ivoire,12470088531.459045,194744127.85245323,380002229.194788,13044834888.506287
CMR,Cameroon,22794207223.4505,50316177.54079628,430357047.66842234,23274880448.659718
COD,Congo - Kinshasa,46015912342.763596,96567731.9886756,1089484726.5061977,47201964801.25847
COG,Congo - Brazzaville,3316813721.509758,7496205.788812637,63373218.10876002,3387683145.4073305
COL,Colombia,14786654757.38886,6260610299.50747,11835849983.892527,32883115040.788857
COM,Comoros,1006472686.9165039,8211625.805183411,55877121.24355316,1070561433.9652405
CPV,Cape Verde,243377086.43286133,69431275.86091232,13177684.567565918,325986046.86133957
CRI,Costa Rica,427513949.2999096,1271769859.91893,591594936.1843338,2290878745.4031734
CUB,Cuba,8398845100.785671,900699903.6174626,4119132181.8477297,13418677186.250862
